"playerID","yearID","AB","H","BB","HBP","X2B","X3B","HR","SF","Games","POS","birthYear","birthMonth","birthDay","Age","Age_centered","SLG","OBP","wRC_plus"
"reedje02",1998,259,75,37,1,17,1,9,3,487,"C",1962,11,12,35,5,0.467181467181467,0.376666666666667,128.533590733591
"vandejo02",1998,104,30,16,0,10,1,5,1,583,"1B",1966,4,29,32,2,0.548076923076923,0.380165289256198,139.679752066116
"walkela01",1998,454,165,64,4,46,3,23,2,1229,"OF",1966,12,1,31,1,0.629955947136564,0.444656488549618,161.932441066685
"wrighja01",1998,57,10,3,0,2,1,1,0,719,"P",1974,12,24,23,-7,0.298245614035088,0.216666666666667,77.7719298245614
"abbotku01",1999,286,78,16,0,17,2,8,1,496,"SS",1969,6,2,30,0,0.43006993006993,0.31023102310231,111.750675067507
"astacpe01",1999,86,20,1,0,2,1,0,0,327,"P",1968,11,28,30,0,0.27906976744186,0.241379310344828,79.7273456295108
"barryje01",1999,168,45,19,2,16,0,5,3,68,"OF",1969,9,22,29,-1,0.452380952380952,0.34375,120.684523809524
"bicheda01",1999,593,177,54,2,38,2,34,10,905,"OF",1963,11,18,35,5,0.541315345699831,0.353566009104704,134.012876579825
"blanche01",1999,263,61,34,1,12,3,6,2,927,"1B",1971,8,29,27,-3,0.368821292775665,0.32,105.546768060837
"bohanbr01",1999,71,14,5,0,2,0,1,0,217,"P",1968,8,1,30,0,0.267605633802817,0.25,79.7887323943662
"castivi02",1999,615,169,53,1,24,1,33,5,1659,"3B",1967,7,4,31,1,0.478048780487805,0.330860534124629,121.701237605848
"clemeed02",1999,162,41,7,0,10,2,8,1,88,"OF",1975,12,15,23,-7,0.487654320987654,0.282352941176471,114.21859114016
"echevan01",1999,191,56,17,3,7,0,11,0,167,"OF",1971,5,25,28,-2,0.50261780104712,0.360189573459716,130.174437358874
"hamilda02",1999,337,102,38,1,11,3,4,1,722,"OF",1964,12,3,34,4,0.388724035608309,0.374005305039788,117.855079536242
"harrile01",1999,158,47,6,0,12,0,0,0,582,"1B",1964,10,28,34,4,0.373417721518987,0.323170731707317,106.715035504785
"heltoto01",1999,578,185,68,6,39,5,35,4,2193,"1B",1973,8,20,25,-5,0.586505190311419,0.394817073170732,147.312747911216
"kileda01",1999,52,7,4,0,0,0,0,0,244,"P",1968,12,2,30,0,0.134615384615385,0.196428571428571,52.8571428571429
"lansimi01",1999,145,45,7,1,9,0,4,1,868,"2B",1968,4,3,31,1,0.455172413793103,0.344155844155844,121.120465741155
"manwaki01",1999,137,41,12,5,7,1,2,1,456,"C",1965,7,15,33,3,0.408759124087591,0.374193548387097,120.493524841064
"perezne01",1999,690,193,28,1,27,11,12,4,1392,"2B",1973,6,2,26,-4,0.402898550724638,0.307053941908714,107.646521137771
"petribe01",1999,62,20,10,0,3,0,4,0,219,"C",1977,4,7,22,-8,0.564516129032258,0.416666666666667,148.387096774194
"reedje02",1999,106,27,17,1,5,0,2,1,487,"C",1962,11,12,36,6,0.358490566037736,0.36,111.403773584906
"sextoch01",1999,59,14,11,0,0,1,1,0,58,"2B",1971,8,3,27,-3,0.322033898305085,0.357142857142857,106.150121065375
"shumpte01",1999,262,91,31,2,26,3,10,5,422,"2B",1966,8,16,32,2,0.583969465648855,0.413333333333333,150.316030534351
"walkela01",1999,438,166,57,12,26,4,37,6,1229,"OF",1966,12,1,32,2,0.710045662100457,0.458089668615984,174.762076423937
"astacpe01",2000,82,8,1,0,0,0,0,0,327,"P",1968,11,28,31,1,0.0975609756097561,0.108433734939759,32.2009991184249
"bohanbr01",2000,53,11,2,0,3,0,2,1,217,"P",1968,8,1,31,1,0.377358490566038,0.232142857142857,90.8423180592992
"braggda01",2000,149,33,17,0,7,1,3,3,760,"OF",1969,9,7,30,0,0.342281879194631,0.29585798816568,97.7510821651245
"cirilje01",2000,598,195,67,6,53,2,11,12,1477,"1B",1969,9,23,30,0,0.476588628762542,0.392386530014641,132.586097141766
"fryeje01",2000,87,31,8,1,6,0,0,1,516,"2B",1966,8,31,33,3,0.425287356321839,0.412371134020619,129.51416044555
"goodwto01",2000,317,86,50,1,8,8,5,4,1029,"OF",1968,7,27,31,1,0.394321766561514,0.368279569892473,117.552152233642
"hammoje01",2000,454,152,44,5,24,2,20,6,782,"OF",1971,3,5,29,-1,0.52863436123348,0.394891944990177,139.803017058584
"heltoto01",2000,580,216,103,4,59,2,42,10,2193,"1B",1973,8,20,26,-4,0.698275862068966,0.463414634146341,174.190496215307
"hollato01",2000,167,54,11,0,8,0,11,0,966,"OF",1973,4,20,27,-3,0.568862275449102,0.365168539325843,139.682432887035
"huntebr02",2000,200,55,21,1,4,1,1,0,890,"OF",1971,3,5,29,-1,0.32,0.346846846846847,104.032432432432
"huskebu01",2000,92,32,16,0,8,0,4,3,506,"3B",1971,11,10,28,-2,0.565217391304348,0.432432432432432,151.316098707403
"lansimi01",2000,365,94,31,0,14,6,11,1,868,"2B",1968,4,3,32,2,0.419178082191781,0.314861460957179,111.168213657224
"maynebr01",2000,335,101,47,1,21,0,6,8,889,"C",1968,4,19,32,2,0.417910447761194,0.381074168797954,122.921708592587
"perezne01",2000,651,187,30,0,39,11,10,11,1392,"2B",1973,6,2,27,-3,0.427035330261137,0.313583815028902,111.95967963915
"petribe01",2000,146,47,20,2,10,1,3,4,219,"C",1977,4,7,23,-7,0.465753424657534,0.401162790697674,132.757247531061
"pierrju01",2000,200,62,13,1,2,0,0,1,1831,"OF",1977,8,14,22,-8,0.32,0.353488372093023,105.227906976744
"servasc01",2000,101,22,7,1,4,0,1,1,549,"C",1967,6,4,33,3,0.287128712871287,0.272727272727273,86.4176417641764
"shumpte01",2000,263,68,28,6,11,7,9,3,422,"2B",1966,8,16,33,3,0.456273764258555,0.34,120.515589353612
"walkela01",2000,314,97,46,9,21,7,9,3,1229,"OF",1966,12,1,33,3,0.506369426751592,0.408602150537634,139.376412574481
"walketo04",2000,171,54,20,1,10,4,7,3,1152,"2B",1973,5,25,27,-3,0.543859649122807,0.384615384615385,139.932523616734
"bennega01",2001,55,15,3,1,3,0,1,1,560,"C",1972,4,17,29,-1,0.381818181818182,0.316666666666667,106.636363636364
"butlebr02",2001,119,29,7,1,7,1,1,2,192,"2B",1978,2,11,23,-7,0.34453781512605,0.286821705426357,96.4178229431307
"cirilje01",2001,528,165,43,5,26,4,17,9,1477,"1B",1969,9,23,31,1,0.473484848484849,0.364102564102564,127.091491841492
"cruzja01",2001,76,16,10,1,1,0,1,2,189,"OF",1973,1,28,28,-2,0.263157894736842,0.303370786516854,88.8172678888232
"encarma01",2001,62,14,5,0,1,0,0,0,22,"OF",1975,9,24,25,-5,0.241935483870968,0.283582089552239,82.4963890226288
"fasansa01",2001,63,16,4,3,5,0,3,0,423,"C",1971,8,10,29,-1,0.476190476190476,0.328571428571429,121.047619047619
"gantro01",2001,171,44,24,0,8,2,8,2,854,"OF",1965,3,2,36,6,0.467836257309941,0.345177664974619,122.950693145724
"hamptmi01",2001,79,23,2,0,2,0,7,0,362,"P",1972,9,9,28,-2,0.582278481012658,0.308641975308642,131.251758087201
"heltoto01",2001,587,197,98,5,54,2,49,5,2193,"1B",1973,8,20,27,-3,0.684838160136286,0.431654676258993,166.726802544336
"hollato01",2001,117,43,8,0,15,1,6,0,966,"OF",1973,4,20,28,-2,0.666666666666667,0.408,160.106666666667
"littlma01",2001,85,29,1,4,6,0,3,0,96,"OF",1972,7,11,28,-2,0.517647058823529,0.377777777777778,135.294117647059
"maynebr01",2001,160,53,16,0,7,0,0,3,889,"C",1968,4,19,33,3,0.375,0.385474860335196,118.135474860335
"melhuad01",2001,71,13,6,0,2,0,1,2,229,"1B",1972,3,27,29,-1,0.253521126760563,0.240506329113924,76.2488857193796
"neaglde01",2001,56,11,2,1,4,0,2,1,256,"P",1968,9,13,32,2,0.375,0.233333333333333,90.75
"nortogr01",2001,225,60,19,0,13,2,13,2,606,"3B",1972,7,6,28,-2,0.515555555555556,0.321138211382114,124.827100271003
"ochoaal01",2001,187,47,21,2,10,3,1,2,673,"OF",1972,3,29,29,-1,0.352941176470588,0.330188679245283,105.316315205327
"ortizjo02",2001,204,52,14,4,8,1,13,1,118,"2B",1977,6,13,24,-6,0.495098039215686,0.31390134529148,120.864987250506
"perezne01",2001,382,114,16,0,19,8,7,1,1392,"2B",1973,6,2,28,-2,0.445026178010471,0.325814536340852,116.500019682715
"petribe01",2001,244,58,31,3,15,3,11,3,219,"C",1977,4,7,24,-6,0.459016393442623,0.327402135231317,118.604515489178
"pierrju01",2001,617,202,41,10,26,11,2,1,1831,"OF",1977,8,14,23,-7,0.414910858995138,0.378176382660688,122.010160548292
"shumpte01",2001,242,70,15,3,14,5,4,1,422,"2B",1966,8,16,34,4,0.43801652892562,0.337164750957854,117.631803932744
"uribeju01",2001,273,82,8,2,15,11,8,0,1794,"SS",1979,3,22,22,-8,0.523809523809524,0.325088339222615,126.611139155309
"walkela01",2001,497,174,82,14,35,3,38,8,1229,"OF",1966,12,1,34,4,0.661971830985915,0.449251247920133,166.921562653793
"walketo04",2001,290,86,25,0,18,2,12,3,1152,"2B",1973,5,25,28,-2,0.496551724137931,0.349056603773585,127.381912817176
"agbaybe01",2002,117,24,10,0,5,0,4,1,333,"OF",1971,12,28,30,0,0.35042735042735,0.265625,93.3680555555556
"alomasa02",2002,116,31,4,0,4,0,0,0,914,"C",1966,6,18,36,6,0.301724137931034,0.291666666666667,91.7241379310345
"bennega01",2002,291,77,15,6,10,2,4,0,560,"C",1972,4,17,30,0,0.353951890034364,0.314102564102564,102.552207242929
"butlebr02",2002,344,89,10,5,18,4,9,4,192,"2B",1978,2,11,24,-6,0.412790697674419,0.286501377410468,105.233038631559
"custja01",2002,65,11,12,0,2,0,1,1,231,"OF",1979,1,16,23,-7,0.246153846153846,0.294871794871795,85.0769230769231
"estalbo02",2002,112,23,14,0,8,0,8,4,299,"C",1974,8,23,27,-3,0.491071428571429,0.284615384615385,115.070054945055
"hamptmi01",2002,64,22,1,0,2,0,3,0,362,"P",1972,9,9,29,-1,0.515625,0.353846153846154,130.723557692308
"heltoto01",2002,553,182,99,5,39,4,30,10,2193,"1B",1973,8,20,28,-2,0.576853526220615,0.428785607196402,152.172367704032
"hollato01",2002,298,88,26,1,21,1,11,2,966,"OF",1973,4,20,29,-1,0.483221476510067,0.351681957186544,126.121544239887
"jennija01",2002,62,19,3,1,4,0,0,0,225,"P",1978,7,17,23,-7,0.370967741935484,0.348484848484849,110.953079178886
"kaplega01",2002,119,37,8,1,4,3,2,0,1012,"OF",1975,7,31,26,-4,0.445378151260504,0.359375,122.586659663866
"littlma01",2002,105,21,13,4,5,2,0,0,96,"OF",1972,7,11,29,-1,0.285714285714286,0.311475409836066,93.2084309133489
"nortogr01",2002,168,37,24,0,8,1,7,2,606,"3B",1972,7,6,29,-1,0.404761904761905,0.314432989690722,109.216985763378
"ortizjo02",2002,192,48,16,3,7,1,1,2,118,"2B",1977,6,13,25,-5,0.3125,0.314553990610329,97.2447183098592
"paytoja01",2002,170,57,8,3,14,4,8,0,1185,"OF",1972,11,22,29,-1,0.605882352941176,0.375690607734807,146.389015274618
"petribe01",2002,95,20,9,1,3,1,5,1,219,"C",1977,4,7,25,-5,0.421052631578947,0.283018867924528,105.680238331678
"pierrju01",2002,592,170,31,9,20,5,1,0,1831,"OF",1977,8,14,24,-6,0.342905405405405,0.332278481012658,104.387829284981
"shumpte01",2002,234,55,21,4,12,1,6,4,422,"2B",1966,8,16,35,5,0.371794871794872,0.304182509505703,103.08618504436
"uribeju01",2002,566,136,34,5,25,7,6,6,1794,"SS",1979,3,22,23,-7,0.340989399293286,0.286415711947627,95.8834500587
"walkela01",2002,477,161,65,7,40,4,26,4,1229,"OF",1966,12,1,35,5,0.60167714884696,0.421338155515371,154.058897342872
"zeileto01",2002,506,138,66,1,23,0,18,7,1392,"1B",1965,9,9,36,6,0.424901185770751,0.353448275862069,118.85784380537
"atkinga01",2003,69,11,3,1,2,0,0,0,781,"3B",1979,12,12,23,-7,0.188405797101449,0.205479452054795,61.4790549930514
"bellhma01",2003,110,26,21,2,3,0,0,0,651,"2B",1974,8,23,28,-2,0.263636363636364,0.368421052631579,100.588516746411
"belliro01",2003,447,124,49,2,31,2,8,1,1372,"2B",1975,4,7,28,-2,0.409395973154362,0.350701402805611,116.347729015077
"butlebr02",2003,90,19,7,1,3,1,1,0,192,"2B",1978,2,11,25,-5,0.3,0.275510204081633,88.5918367346939
"estalbo02",2003,140,28,19,1,7,0,7,3,299,"C",1974,8,23,28,-2,0.4,0.294478527607362,105.006134969325
"heltoto01",2003,583,209,111,2,49,5,33,7,2193,"1B",1973,8,20,29,-1,0.629502572898799,0.458036984352774,164.281991660343
"hernajo01",2003,257,61,27,0,6,1,8,2,1468,"2B",1969,7,14,33,3,0.361867704280156,0.307692307692308,102.427416941036
